time_s,q_deg_A1,q_deg_A2,q_deg_A3,q_deg_A4,q_deg_A5,q_deg_A6,qd_deg_s_A1,qd_deg_s_A2,qd_deg_s_A3,qd_deg_s_A4,qd_deg_s_A5,qd_deg_s_A6,qdd_deg_s2_A1,qdd_deg_s2_A2,qdd_deg_s2_A3,qdd_deg_s2_A4,qdd_deg_s2_A5,qdd_deg_s2_A6,flange_x_m,flange_y_m,flange_z_m
2.38,56.2099139508149,35.5782329426174,-64.3148709262223,93.6831899180248,44.0524784877037,168.629741852445,16.1288545185185,18.8169969382716,-24.1932817777777,26.8814241975308,4.03221362962962,48.3865635555555,-38.4749037037038,-44.8873876543211,57.7123555555557,-64.124839506173,-9.61872592592595,-115.424711111111,0.334137731783906,0.601622856782081,1.04867510266125
2.385,56.290077336375,35.6717568924376,-64.4351160045626,93.8167955606251,44.0725193340938,168.870232009125,15.9365103749999,18.5925954374999,-23.9047655624998,26.5608506249998,3.98412759374997,47.8095311249997,-38.4620999999999,-44.8724499999999,57.6931499999999,-64.1034999999999,-9.61552499999999,-115.3863,0.333496336725838,0.602411931976438,1.04855531642358
2.39,56.3692791776297,35.7641590405679,-64.5539187664445,93.9487986293828,44.0923197944074,169.107837532889,15.744240074074,18.3682800864197,-23.616360111111,26.2404001234567,3.9360600185185,47.232720222222,-38.4453629629629,-44.85292345679,57.6680444444443,-64.0756049382715,-9.61134074074072,-115.336088888889,0.332860865929602,0.603189998487596,1.04843593955179
2.395,56.4475198930509,35.8554398752261,-64.6712798395764,94.0791998217515,44.1118799732627,169.342559679153,15.5520633379629,18.1440738942901,-23.3280950069444,25.9201055632715,3.88801583449073,46.6561900138888,-38.4246703703704,-44.8287820987655,57.6370055555556,-64.0411172839507,-9.6061675925926,-115.274011111111,0.33223138390864,0.603957111571354,1.04831700885873
2.4,56.5248000000001,35.9456000000001,-64.7872000000001,94.2080000000001,44.1312,169.5744,15.3599999999999,17.9199999999999,-23.0399999999999,25.5999999999998,3.83999999999998,46.0799999999997,-38.4,-44.8,57.6,-64,-9.6,-115.2,0.331607953297405,0.604713327096422,1.04819856051594
2.405,56.6011201152824,36.0346401344962,-64.9016801729236,94.3352001921374,44.1502800288206,169.803360345847,15.1680700046296,17.6960816720679,-22.7521050069444,25.2801166743827,3.7920175011574,45.5042100138888,-38.3713296296296,-44.7665512345679,57.5569944444445,-63.9522160493827,-9.59283240740741,-115.113988888889,0.330990634844581,0.605458701529324,1.04808063004766
2.41,56.6764809557037,36.1225611149876,-65.0147214335555,94.4608015928395,44.1691202389259,170.029442867111,14.9762934074075,17.4723423086421,-22.4644401111113,24.9604890123459,3.74407335185188,44.9288802222225,-38.3386370370371,-44.7284098765433,57.5079555555556,-63.8977283950618,-9.58465925925927,-115.015911111111,0.330379487406675,0.606193291919749,1.04796325232496
2.415,56.750883338625,36.2093638950626,-65.1263250079376,94.5848055643751,44.1877208346563,170.252650015875,14.7846903749999,17.2488054374999,-22.1770355624999,24.6411506249999,3.69617259374999,44.3540711249998,-38.3019,-44.68555,57.45285,-63.8365,-9.57547499999999,-114.9057,0.329774567941972,0.606917155886322,1.04784646156017
2.42,56.8243281825185,36.2950495462716,-65.2364922737778,94.7072136375309,44.2060820456296,170.472984547556,14.5932811851852,17.0254947160494,-21.8899217777778,24.3221353086419,3.64832029629629,43.7798435555555,-38.2610962962962,-44.6379456790123,57.3916444444443,-63.7684938271604,-9.56527407407406,-114.783288888889,0.329175931504864,0.607630351602819,1.04773029130145
2.425,56.8968165075231,36.379619258777,-65.3452247612847,94.8280275125385,44.2242041268808,170.690449522569,14.4020862268519,16.8024339313272,-21.6031293402778,24.0034770447531,3.60052155671297,43.2062586805556,-38.2162037037037,-44.5855709876544,57.3243055555556,-63.6936728395062,-9.55405092592593,-114.648611111111,0.328583631240508,0.60833293778484,1.04761477442751
